identifiant;nom;nombre Velos Disponibles;nombre Places Disponibles;adresse;commune;etat;etatConnexion;type;geo
10;10 Rihour (CB);0;32;ANGLE PLACE RIHOUR RUE JEAN ROISIN;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.63589, 3.062471
102;102 Mairie de Mons (CB);5;11;AVENUE ROBERT SCHUMAN;MONS EN BAROEUL;EN SERVICE;CONNECTEE;AVEC TPE;50.642418, 3.110835
11;11 Nouveau siecle (CB);0;32;10 RUE DE PAS (SUR LA PLACE PIERRE MENDES FRANCE);LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.63734, 3.060977
111;111 Hellemmes Cimetieres;7;5;318, RUE ROGER SALENGRO;HELLEMMES;EN SERVICE;CONNECTEE;SANS TPE;50.62486, 3.116677
112;112 Square Charles de Gaulle;10;2;4, RUE FERDINAND BUISSON;HELLEMMES;EN SERVICE;CONNECTEE;SANS TPE;50.626846, 3.115101
12;12 Opera (CB);0;25;FACE AU 8 RUE ANATOLE FRANCE;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.637486, 3.065902
121;121 Pont superieur (CB);7;9;ANGLE DE LA RUE AUGUSTE BONTE  ET DU N°520 DE L’AVENUE DE DUNKERQUE;LOMME;EN SERVICE;CONNECTEE;AVEC TPE;50.644855, 3.013238
126;126 Le Polyedre;10;6;FACE AU 38, AVENUE RHIN ET DANUBE;MONS EN BAROEUL;EN SERVICE;CONNECTEE;SANS TPE;50.64057, 3.115571
127;127 Flers Mairie (CB);5;7;16 RUE DU GÉNÉRAL LECLERC;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;AVEC TPE;50.63708, 3.127964
128;128 Rue Louise Michel;11;5;93 RUE LOUISE MICHEL;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;SANS TPE;50.633842, 3.127335
132;132 Centre Commercial V2 (CB);4;15;BOULEVARD VALMY;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;AVEC TPE;50.61606, 3.132006
134;134 Rue des Victoires;8;8;76, BOULEVARD VAN GOGH;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;SANS TPE;50.6221, 3.131706
141;141 Metro Triolo (CB);8;16;2 RUE TRAVERSIÈRE ANGLE ALLÉE TURGOT;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;AVEC TPE;50.61682, 3.140808
145;145 Residence;8;12;PLACE N. DAME DE LA NATIVITÉ;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;SANS TPE;50.61992, 3.14528
148;148 P.I. de Douai;20;0;RUE DU FAUBOURG DE DOUAI SOUS LE PONT;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.612194, 3.074952
150;150 Ronchin Mairie (CB);7;17;SUR LE PARVIS DE LA MAIRIE;RONCHIN;EN SERVICE;CONNECTEE;AVEC TPE;50.60548, 3.077622
152;152 Chemin rouge;11;4;FACE AU 2 CHEMIN ROUGE;FACHES-THUMESNIL;EN SERVICE;CONNECTEE;SANS TPE;50.61058, 3.065103
157;157 Canon d'Or (CB);15;0;FACE AU 255 RUE DE LILLE;LAMBERSART;EN SERVICE;CONNECTEE;AVEC TPE;50.64989, 3.042045
16;16 Magasin;14;2;3 RUE SAINT ANDRE;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.646225, 3.053499
20;20 N.D. de la Treille;19;11;PLACE GILLSON;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.640385, 3.062053
201;201 Edhec;9;21;272, RUE VERTE;CROIX;EN SERVICE;CONNECTEE;SANS TPE;50.673943, 3.163443
21;21 Place du Concert (CB);9;11;RUE ALPHONSE COLAS;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.64193, 3.061774
211;211 Gustave Delory (CB);10;8;48, AVENUE GUSTAVE DELORY;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.674164, 3.174519
219;219 Gare Jean Lebas (CB);6;11;PLACE DE LA GARE;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.695477, 3.164222
222;222 Les Gobelins;4;8;32, RUE DE LA COMMUNAUTÉ URBAINE;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.6941, 3.172165
223;223 Place Trichon;6;10;3, PLACE DU TRICHON;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.690315, 3.16912
228;228 Pellart;9;7;15, RUE PELLART;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.69535, 3.180779
23;23 Rue des Arts;7;11;41 RUE DES ARTS;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.639107, 3.065548
231;231 Motte Bossut;10;8;ROND POINT DE L'EUROPE;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.689762, 3.177179
236;236 Chaptal;5;7;3, RUE D'AVELGHEM;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.694714, 3.192643
243;243 Victoire;6;5;FACE AU 1 PLACE DE LA VICTOIRE;TOURCOING;EN SERVICE;CONNECTEE;SANS TPE;50.718204, 3.15749
246;246 Cavell;6;6;FACE AU 49 RUE DE LA CLOCHE;TOURCOING;EN SERVICE;CONNECTEE;SANS TPE;50.72271, 3.163794
